학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액,위도,경도
목포과학대학교,사립,전남,전문대학,6106660.5,12231809332,762,1952206192,746606192,34.8078795828,126.4098144291
문경대학교,사립,경북,전문대학,6357049.4,3608096932,352,944335458,379116423,36.6575623418,128.1741778007
배재대학교,사립,대전,대학,7959587.6,29089266173,2003,5697062562,2918523033,36.3232382774,127.3660744602
배화여자대학교,사립,서울,전문대학,6825818.6,8649188937,727,2148112129,1257312129,37.5795440102,126.9672918715
백석대학교,사립,충남,대학,8626213.5,46081294843,5967,21564289209,14146700998,36.83883721,127.1825206
백석문화대학교,사립,충남,전문대학,7501632.0,14837163329,1364,4317540002,2366877071,36.83883721,127.1825206
백제예술대학교,사립,전북,전문대학,8080685.5,2807685626,334,1175338077,740138077,35.9962539422,127.129848318
부산가톨릭대학교,사립,부산,대학,7470200.0,16075350566,1088,3263837621,1797225931,35.2446753072,129.0968719716
부산경상대학교,사립,부산,전문대학,5696012.6,9685530924,332,873519414,334886074,35.1854293315,129.1009589186
부산과학기술대학교,사립,부산,전문대학,6595823.1,16430388478,658,1581982235,568447672,35.19419451,129.0053031
부산교육대학교,국공립,부산,대학,3316000.0,3613922640,296,776300600,329000600,35.1956932099,129.0770825163
부산대학교,국공립,부산,대학,4514543.2,60134538340,6755,21512759521,11227626599,35.2322427972,129.0838244536
부산디지털대학교,사립,부산,대학,2522964.0,5436341928,431,902347300,125647300,35.1466772772,129.0097083737
부산보건대학교,사립,부산,전문대학,6614811.3,10557453862,886,2028373950,692073950,35.1067235699,128.9972308998
부산여자대학교,사립,부산,전문대학,6503938.5,7421075585,569,1464283030,619083030,35.1692365237,129.0720551877
부산예술대학교,사립,부산,전문대학,5696501.5,3138582115,139,364256160,128756160,35.1418395189,129.0839126368
부산외국어대학교,사립,부산,대학,7046968.4,23539128043,1967,5412225125,2542953462,35.2661894921,129.0805532964
부산장신대학교,사립,경남,대학,6316875.0,729173140,201,734816150,451916150,35.2563662116,128.8616244271
부천대학교,사립,경기,전문대학,6909184.8,30500573348,2241,6408641308,3776223245,37.4888727235,126.7792998159
사이버한국외국어대학교,사립,서울,대학,2888042.3,9573469001,1033,2411933110,637255320,37.5982966772,127.0579424137
삼육대학교,사립,서울,대학,8537542.9,21608284524,1731,5735370713,3716500756,37.6433573691,127.1088503432
삼육보건대학교,사립,서울,전문대학,6296214.5,4176811591,444,1234982090,712182090,37.5862119388,127.0635532812
상명대학교,사립,서울,대학,8596065.1,44656668211,4072,14988335427,10293393391,37.6041089059,126.9551594966
상지대학교,사립,강원,대학,8112354.0,20756493444,2053,6949880996,4159116503,37.369119287,127.9299150659
서강대학교,사립,서울,대학,8698676.8,25739870968,4489,26638379868,21354449655,37.55146931,126.943025
서경대학교,사립,서울,대학,8688695.9,23895424006,2155,7550543584,5215543584,37.6154147804,127.0135657644
서영대학교,사립,광주,전문대학,6027954.0,19291392552,1455,3560116379,1323422927,35.175179654,126.8680368229
서울과학기술대학교,국공립,서울,대학,5494477.2,31205737972,2705,8130933109,4332378600,37.6330789279,127.0767947429
서울교육대학교,국공립,서울,대학,3256000.0,2664739655,335,941862000,497312000,37.4907404858,127.0154245376
