2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,국립,충남,기존,국립공주대학교,"11,292","12,357","10,618","1,739","5,113","1,145","5,505",594,"3,449","3,211",238,"2,634",191,577,47,108,98,10,37,4,61,6,"15,914","13,927","1,987","7,784","1,340","6,143",647
2025,대학교,국립,전북,기존,국립군산대학교,"6,864","6,221","5,719",502,"3,697",290,"2,022",212,"2,231","2,130",101,"1,928",83,202,18,45,44,1,20,0,24,1,"8,497","7,893",604,"5,645",373,"2,248",231
2025,대학교,국립,경북,기존,국립금오공과대학교,"4,934","4,895","4,491",404,"3,555",332,936,72,"2,368","2,191",177,"2,064",164,127,13,25,25,0,14,0,11,0,"7,288","6,707",581,"5,633",496,"1,074",85
2025,대학교,국립,전남,기존,국립목포대학교,"6,072","5,664","5,172",492,"2,985",335,"2,187",157,"1,989","1,852",137,"1,580",125,272,12,26,24,2,15,2,9,0,"7,679","7,048",631,"4,580",462,"2,468",169
2025,대학교,국립,전남,기존,국립목포해양대학교,"2,737","2,646","2,501",145,"2,015",121,486,24,434,394,40,366,36,28,4,1,1,0,1,0,0,0,"3,081","2,896",185,"2,382",157,514,28
2025,대학교,국립,부산,기존,국립부경대학교,"13,177","15,131","13,194","1,937","6,961",952,"6,233",985,"5,005","4,570",435,"3,603",331,967,104,311,297,14,127,11,170,3,"20,447","18,061","2,386","10,691","1,294","7,370","1,092"
2025,대학교,국립,전남,기존,국립순천대학교,"6,466","6,352","5,805",547,"3,083",316,"2,722",231,"2,010","1,906",104,"1,601",89,305,15,22,21,1,15,1,6,0,"8,384","7,732",652,"4,699",406,"3,033",246
2025,대학교,국립,경남,기존,국립창원대학교,"7,009","7,401","6,749",652,"3,630",372,"3,119",280,"2,581","2,396",185,"1,932",154,464,31,90,84,6,42,1,42,5,"10,072","9,229",843,"5,604",527,"3,625",316
2025,대학교,국립,충북,기존,국립한국교통대학교,"7,657","7,950","7,167",783,"5,096",574,"2,071",209,"3,126","2,908",218,"2,651",210,257,8,60,58,2,37,2,21,0,"11,136","10,133","1,003","7,784",786,"2,349",217
2025,대학교,국립,부산,기존,국립한국해양대학교,"5,488","6,326","5,746",580,"3,998",438,"1,748",142,"1,541","1,440",101,"1,251",91,189,10,83,81,2,43,1,38,1,"7,950","7,267",683,"5,292",530,"1,975",153
2025,대학교,국립,대전,기존,국립한밭대학교,"7,613","8,243","7,333",910,"4,300",599,"3,033",311,"2,625","2,460",165,"2,101",141,359,24,133,125,8,69,5,56,3,"11,001","9,918","1,083","6,470",745,"3,448",338
2025,대학교,사립,서울,기존,국민대학교,"11,921","14,502","11,732","2,770","6,324","1,103","5,408","1,667","5,194","4,543",651,"3,449",410,"1,094",241,732,667,65,261,20,406,45,"20,428","16,942","3,486","10,034","1,533","6,908","1,953"
2025,사이버대학(대학),사립,경기,기존,국제사이버대학교,"2,900","3,649","2,749",900,"1,101",424,"1,648",476,543,409,134,174,54,235,80,0,0,0,0,0,0,0,"4,192","3,158","1,034","1,275",478,"1,883",556
2025,대학교,사립,충북,기존,극동대학교,"3,547","3,165","2,474",691,"1,271",389,"1,203",302,720,681,39,553,27,128,12,11,9,2,7,0,2,2,"3,896","3,164",732,"1,831",416,"1,333",316
2025,사이버대학(대학),사립,충남,기존,글로벌사이버대학교,"3,580","2,457","2,428",29,809,15,"1,619",14,382,378,4,148,3,230,1,0,0,0,0,0,0,0,"2,839","2,806",33,957,18,"1,849",15
2025,대학교,사립,충남,기존,금강대학교,440,62,62,0,37,0,25,0,33,33,0,31,0,2,0,1,1,0,1,0,0,0,96,96,0,69,0,27,0
