학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수,재학생수,대출학생비율(%),1인당_대출액(원)
연암대학교,사립,충남,4499365708,224234300,5507073675,전문대학,0,6283484.2,124,396811460,90,250311460,212,543450314,102,232500314,146500000,310950000,457450000,482811774,940261774,336,1119,30.02680965147453,840269.6818588024
영남대학교,사립,경북,61109158741,4203336300,86583959963,대학,0,8072811.3,2684,9966364880,1967,6787064880,3471,9861394675,1657,4765041328,3179300000,5096353347,8275653347,11552106208,19827759555,6155,20623,29.845318333899044,961439.1482810455
영남신학대학교,사립,경북,1462872302,150638000,1815807630,대학,0,6812000.0,146,558188100,110,316188100,73,239286500,38,113336500,242000000,125950000,367950000,429524600,797474600,219,371,59.02964959568733,2149527.2237196765
영남외국어대학,사립,경북,824686660,12360000,2353022660,전문대학,0,5505204.2,24,33990000,14,17990000,24,65580000,12,24330000,16000000,41250000,57250000,42320000,99570000,48,472,10.16949152542373,210953.38983050847
영남이공대학교,사립,대구,19756351142,0,26034798030,전문대학,0,6688516.2,470,1176341000,235,569891000,1038,2627314748,430,1027126503,606450000,1600188245,2206638245,1597017503,3803655748,1508,5864,25.7162346521146,648645.2503410641
영진사이버대학교,사립,대구,6483709400,46757700,7460586050,전문대학,0,2498803.1,301,628208700,86,96458700,157,344117680,51,58051000,531750000,286066680,817816680,154509700,972326380,458,3300,13.878787878787879,294644.3575757576
영진전문대학교,사립,대구,25234564742,235784500,31697863380,전문대학,0,6757226.4,714,1862462350,383,854112350,1129,2819635990,452,985802650,1008350000,1833833340,2842183340,1839915000,4682098340,1843,7300,25.246575342465754,641383.3342465754
예수대학교,사립,전북,1430386632,125057000,1850899675,대학,0,7491000.0,32,97816000,21,63716000,93,257678000,54,134178000,34100000,123500000,157600000,197894000,355494000,125,480,26.041666666666668,740612.5
예원예술대학교,사립,전북,2182688384,116419000,3737027520,대학,0,8879588.7,135,531003300,116,394253300,191,683720980,148,456520980,136750000,227200000,363950000,850774280,1214724280,326,537,60.70763500931099,2262056.387337058
오산대학교,사립,경기,11609267544,5196000,15253208203,전문대학,0,7075413.7,462,1481550710,363,1008950710,689,1932817116,420,1033667116,472600000,899150000,1371750000,2042617826,3414367826,1151,4227,27.229713744972795,807752.0288620772
용인대학교,사립,경기,15611424928,1308202800,21573193510,대학,0,8424516.6,1096,4497374000,899,3405324000,1342,4492426254,921,2814593520,1092050000,1677832734,2769882734,6219917520,8989800254,2438,5326,45.775441231693584,1687908.421704844
용인예술과학대학교,사립,경기,6755039702,0,8864296375,전문대학,0,7453471.8,341,1154038000,275,817738000,574,1591196393,382,830950720,336300000,760245673,1096545673,1648688720,2745234393,915,2554,35.826155050900546,1074876.4263899764
우석대학교,사립,전북,19866566053,608034820,26857797942,대학,0,7519491.2,874,3048591430,605,1909791430,1135,3243120169,630,1549744787,1138800000,1693375382,2832175382,3459536217,6291711599,2009,6629,30.30623020063358,949119.2636898477
우송대학교,사립,대전,27296569575,759642540,41788761782,대학,0,7817764.1,721,2460459700,530,1672209700,1654,4560176360,1040,2279326360,788250000,2280850000,3069100000,3951536060,7020636060,2375,9680,24.535123966942148,725272.3202479339
우송정보대학,사립,대전,11134364033,0,13679458591,전문대학,0,6636858.1,234,602723100,131,271223100,527,1292317118,227,459067877,331500000,833249241,1164749241,730290977,1895040218,761,2904,26.205234159779618,652562.0585399449
울산과학기술원,국공립,울산,2931286542,52552000,12728147295,대학,0,6567981.0,453,1321140000,164,585390000,168,346223660,11,33173660,735750000,313050000,1048800000,618563660,1667363660,621,1893,32.80507131537242,880804.8917062863
울산과학대학교,사립,울산,12601653312,906028300,16645593367,전문대학,0,6701181.8,492,1383026000,290,778476000,700,1838687014,304,733991155,604550000,1104695859,1709245859,1512467155,3221713014,1192,5224,22.817764165390507,616713.8235068913
웅지세무대학교,사립,경기,439063320,64050000,947631320,전문대학,0,6960000.0,15,22940000,7,10440000,29,71010000,7,19510000,12500000,51500000,64000000,29950000,93950000,44,166,26.506024096385545,565963.8554216868
원광대학교,사립,전북,35118756883,3763668901,50363170102,대학,0,8097126.7,1720,7091797600,1199,4805797600,2087,5834926271,844,2481993334,2286000000,3352932937,5638932937,7287790934,12926723871,3807,12360,30.800970873786408,1045851.4458737865
원광디지털대학교,사립,전북,8402333560,265876000,10866595740,대학,0,2735094.3,679,1509507000,257,322957000,175,385128000,74,84728000,1186550000,300400000,1486950000,407685000,1894635000,854,4931,17.31900223078483,384229.3652403164
원광보건대학교,사립,전북,13504370623,182927175,17215009747,전문대학,0,6668343.3,310,782942900,149,356092900,978,2416865950,437,946532610,426850000,1470333340,1897183340,1302625510,3199808850,1288,3810,33.805774278215225,839844.842519685
위덕대학교,사립,경북,7112479637,8323000,10285635601,대학,0,7312525.9,201,599508750,131,336408750,297,711059839,145,303613650,263100000,407446189,670546189,640022400,1310568589,498,2116,23.534971644612476,619361.3369565217
유원대학교,사립,충북,11377984128,18140000,25406860288,대학,0,7193377.1,254,696444600,126,332194600,464,1257607900,255,543007900,364250000,714600000,1078850000,875202500,1954052500,718,4032,17.807539682539684,484636.03670634923
유한대학교,사립,경기,12256710811,1127750200,15996396436,전문대학,0,6756634.8,518,1607509700,396,1084759700,832,2272255342,481,1139061643,522750000,1133193699,1655943699,2223821343,3879765042,1350,4685,28.8153681963714,828124.8755602988
을지대학교,사립,대전,11612466294,3674104300,18769868329,대학,0,9247499.6,605,2418309700,508,1886559700,773,2505352985,482,1596488022,531750000,908864963,1440614963,3483047722,4923662685,1378,357,385.99439775910366,13791772.226890756
이화여자대학교,사립,서울,26977766814,11857231326,56816775931,대학,0,9311388.0,4500,25190343530,4058,20895910530,1914,7105723500,1130,4407481384,4294433000,2698242116,6992675116,25303391914,32296067030,6414,16452,38.986141502552876,1963048.0810843667
인덕대학교,사립,서울,16310618817,2024428170,20614258405,전문대학,0,7170128.5,690,2259599330,545,1585199330,1273,3773233705,841,2140383705,674400000,1632850000,2307250000,3725583035,6032833035,1963,5790,33.903281519861835,1041940.0751295337
인제대학교,사립,경남,21325634794,2389231600,29815087765,대학,0,7926630.2,1085,3753140200,837,2432240200,1627,4587924621,943,2199837212,1320900000,2388087409,3708987409,4632077412,8341064821,2712,6844,39.625949736995906,1218741.2070426652
인천대학교,국공립,인천,26412216855,2218828667,37440493078,대학,0,4650414.5,1310,3941458390,856,2235908390,1851,4199537969,658,1250561289,1705550000,2948976680,4654526680,3486469679,8140996359,3161,11247,28.105272517115676,723837.1440384103
인하공업전문대학,사립,인천,20747832724,1412476380,28982779296,전문대학,0,7318815.2,874,2866250800,643,1897100800,1316,3696267297,690,1788643374,969150000,1907623923,2876773923,3685744174,6562518097,2190,7068,30.98471986417657,928483.035795133
인하대학교,사립,인천,38886988719,4527459000,61359069359,대학,0,8490347.9,3419,13525576100,2640,9613393100,2860,7901756134,1514,3819696800,3912183000,4082059334,7994242334,13433089900,21427332234,6279,17830,35.215928210880534,1201757.276163769
장로회신학대학교,사립,서울,2089279948,92948000,2791650905,대학,0,7308300.0,867,4342346160,747,3298846160,353,1282053668,221,738062507,1043500000,543991161,1587491161,4036908667,5624399828,1220,572,213.28671328671328,9832866.832167832
재능대학교,사립,인천,9274732798,783733389,12333988145,전문대학,0,7199291.8,433,1392756110,303,906006110,587,1602003950,332,744040001,486750000,857963949,1344713949,1650046111,2994760060,1020,2801,36.41556586933238,1069175.3159585863
전남과학대학교,사립,전남,11335171573,151970000,13257904087,전문대학,0,5493549.3,249,555683000,76,179183000,427,985420000,128,322470000,376500000,662950000,1039450000,501653000,1541103000,676,2971,22.75328172332548,518715.2473914507
전남대학교,국공립,광주,40427465968,3251468320,58416519402,대학,0,4198425.5,2659,9316824180,1788,5567524180,2805,6594604179,775,1830301074,3749300000,4764303105,8513603105,7397825254,15911428359,5464,16391,33.33536696967848,970741.770422793
전남도립대학교,국공립,전남,1482233612,0,2108041405,전문대학,0,1962652.2,53,107118000,13,12518000,54,105833000,8,7833000,94600000,98000000,192600000,20351000,212951000,107,885,12.09039548022599,240622.5988700565
전북과학대학교,사립,전북,6198568609,62387000,7459259898,전문대학,0,5403179.4,162,402526600,47,120426600,261,628015800,70,184265800,282100000,443750000,725850000,304692400,1030542400,423,1600,26.437500000000004,644089.0
전북대학교,국공립,전북,39185682710,4422018640,53677932423,대학,0,4461484.3,2299,7519573300,1551,4365723300,2423,5671254802,712,1599891023,3153850000,4071363779,7225213779,5965614323,13190828102,4722,17841,26.46712628215907,739354.7504063674
전주교육대학교,국공립,전북,1221073435,81263000,1667174845,대학,0,3646000.0,68,169922000,38,71672000,83,153070000,8,13514000,98250000,139556000,237806000,85186000,322992000,151,1019,14.81844946025515,316969.5780176644
전주기전대학,사립,전북,6992677412,0,9947327470,전문대학,0,6800000.0,141,357145830,61,163745830,203,531032948,82,185732948,193400000,345300000,538700000,349478778,888178778,344,1787,19.250139899272522,497022.2596530498
전주대학교,사립,전북,32208647253,3266757886,44117634272,대학,0,7543384.2,1080,3652072240,776,2372422240,1808,4809168917,807,2048419712,1279650000,2760749205,4040399205,4420841952,8461241157,2888,10147,28.461614270227653,833866.2813639499
전주비전대학교,사립,전북,10174315290,0,12653440975,전문대학,0,6728959.0,262,707941100,150,354641100,606,1452439550,270,490156200,353300000,962283350,1315583350,844797300,2160380650,868,2852,30.434782608695656,757496.721598878
제주관광대학교,사립,제주,5077704759,0,5938775742,전문대학,0,5475138.5,100,253015500,40,94115500,200,472487000,74,162787000,158900000,309700000,468600000,256902500,725502500,300,1541,19.46787800129786,470799.80532121996
제주국제대학교,사립,제주,121006036,46800000,829500560,대학,0,5819108.1,31,96010000,25,53210000,5,8500000,0,0,42800000,8500000,51300000,53210000,104510000,36,263,13.688212927756654,397376.4258555133
